Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-September-2019,138.55,148.10,137.50,140.60,143.251437309008527062,3931131,6472,563140166.00,3202935,81.48,10.60,2.05
20-September-2019,133.20,136.90,130.75,134.65,134.458297851024395130,339371,2159,45631247.00,54065,15.93,6.15,1.45
19-September-2019,135.25,136.00,130.90,133.05,132.904666629761725885,252902,1761,33611856.00,90732,35.88,5.10,-2.20
18-September-2019,132.75,135.65,131.65,134.90,133.956970722426626339,389479,3493,52173427.00,77855,19.99,4.00,2.15
17-September-2019,129.50,133.25,129.15,131.90,131.113221352484262083,665590,2838,87267649.00,103955,15.62,4.10,2.40
16-September-2019,130.20,132.55,128.60,129.60,130.580028110109355181,408394,2944,53328100.00,87306,21.38,3.95,-0.60
13-September-2019,125.25,130.00,123.60,129.10,127.614903374104322167,964493,3338,123083681.00,609954,63.24,6.40,3.85
12-September-2019,128.00,129.70,125.40,125.80,127.260868567231327181,174264,2543,22176988.00,63445,36.41,4.30,-2.20
11-September-2019,132.05,133.00,128.15,128.45,130.292345978368375713,282087,1651,36753777.00,79247,28.09,4.85,-3.60
9-September-2019,132.00,132.55,130.30,132.05,131.465878831595197486,148339,1266,19501517.00,34370,23.17,2.25,0.05
6-September-2019,131.65,132.05,129.35,131.25,130.773082616523304660,124975,1595,16343366.00,27508,22.01,2.70,-0.40
5-September-2019,127.20,132.30,126.05,130.95,130.983488407985977135,362836,3952,47525525.00,120214,33.13,6.25,3.75
4-September-2019,128.00,129.55,125.10,127.20,126.698017989151580344,174772,2336,22143266.00,27708,15.85,4.45,-0.80
3-September-2019,129.50,130.40,126.30,126.80,128.500228411264159562,129153,1670,16596190.00,32045,24.81,4.10,-2.70
30-August-2019,129.95,133.15,125.35,129.65,129.577080229401800110,244985,2333,31744441.00,64536,26.34,7.80,-0.30
29-August-2019,128.05,129.35,126.45,128.55,128.105004101722723543,81673,1023,10462720.00,19933,24.41,2.90,0.50
28-August-2019,131.50,133.55,127.50,128.00,130.661922718020638359,183251,1811,23943928.00,49248,26.87,6.05,-3.50
27-August-2019,126.50,131.40,126.50,130.30,129.945517770811818572,218842,4050,28437537.00,77480,35.40,4.90,3.80
26-August-2019,128.00,128.00,123.30,126.40,125.317044604422423625,326156,2891,40872906.00,85732,26.29,4.70,-1.60
23-August-2019,120.90,126.10,119.65,124.45,123.567670550609243172,240134,3634,29672799.00,103277,43.01,6.45,3.55
